Date,Open,High,Low,Close,Adj Close,Volume,SMA20,2xstd,ld,hd
2020-01-02,84.900002,86.139999,84.342003,86.052002,86.052002,47660500,,,,
2020-01-03,88.099998,90.800003,87.384003,88.601997,88.601997,88892500,,,,
2020-01-06,88.094002,90.311996,88.0,90.307999,90.307999,50665000,,,,
2020-01-07,92.279999,94.32599599999999,90.67199699999999,93.811996,93.811996,89410500,,,,
2020-01-08,94.739998,99.697998,93.646004,98.428001,98.428001,155721500,,,,
2020-01-09,99.41999799999999,99.760002,94.57399699999999,96.26799799999999,96.26799799999999,142202000,,,,
2020-01-10,96.358002,96.987999,94.739998,95.629997,95.629997,64797500,,,,
2020-01-13,98.699997,105.125999,98.400002,104.972,104.972,132588000,,,,
2020-01-14,108.851997,109.48200200000001,104.980003,107.584,107.584,144981000,,,,
2020-01-15,105.952003,107.568001,103.358002,103.699997,103.699997,86844000,,,,
2020-01-16,98.75,102.891998,98.433998,102.697998,102.697998,108683500,,,,
2020-01-17,101.522003,103.134003,100.63200400000001,102.099998,102.099998,68145500,,,,
2020-01-21,106.050003,109.716003,105.681999,109.440002,109.440002,89017500,,,,
2020-01-22,114.377998,118.900002,111.82,113.912003,113.912003,156845000,,,,
2020-01-23,112.849998,116.400002,111.120003,114.440002,114.440002,98255000,,,,
2020-01-24,114.125999,114.772003,110.851997,112.96399699999999,112.96399699999999,71768000,,,,
2020-01-27,108.398003,112.888,107.856003,111.603996,111.603996,68040500,,,,
2020-01-28,113.697998,115.362,111.615997,113.379997,113.379997,58942500,,,,
2020-01-29,115.138,117.959999,113.486,116.197998,116.197998,89007500,,,,
2020-01-30,126.484001,130.175995,123.599998,128.162003,128.162003,145028500,,,,
2020-01-31,128.0,130.600006,126.503998,130.113998,130.113998,78596500,104.51269905000001,21.075569876303263,83.43712917369675,125.58826892630327
2020-02-03,134.738007,157.227997,134.703995,156.0,156.0,235325000,106.71579885000001,22.083724440568893,84.63207440943111,128.7995232905689
2020-02-04,176.591995,193.798004,166.776001,177.412003,177.412003,304694000,110.08569900000002,29.367167214248287,80.71853178575174,139.4528662142483
2020-02-05,164.651993,169.195999,140.82200600000002,146.940002,146.940002,242119000,114.44089919999999,40.18574615038748,74.25515304961252,154.62664535038746
2020-02-06,139.983994,159.166,137.399994,149.792007,149.792007,199404000,117.0972995,41.38594387665964,75.71135562334037,158.48324337665963
2020-02-07,146.110001,153.949997,146.0,149.613998,149.613998,85317500,119.66549979999999,42.784272552469936,76.88122724753006,162.44977235246992
2020-02-10,160.0,163.998001,150.479996,154.255997,154.255997,123446000,122.3327998,43.26580533718184,79.06699446281817,165.59860513718183
2020-02-11,153.757996,156.701996,151.600006,154.87600700000002,154.87600700000002,58487500,125.26409980000001,43.574878096602774,81.68922170339724,168.83897789660278
2020-02-12,155.574005,157.949997,152.673996,153.457993,153.457993,60112500,127.75930014999999,44.349577774009106,83.40972237599088,172.1088779240091
2020-02-13,148.367996,163.600006,147.0,160.800003,160.800003,131446500,130.0529998,44.68239957753447,85.37060022246554,174.73539937753446
2020-02-14,157.444,162.59399399999998,157.100006,160.005997,160.005997,78468500,132.90800009999998,44.87863873821544,88.02936136178454,177.78663883821542
2020-02-18,168.320007,172.0,166.472,171.679993,171.679993,81908500,135.77340005000002,44.10874731074884,91.66465273925118,179.88214736074886
2020-02-19,184.699997,188.955994,180.203995,183.483994,183.483994,127115000,139.2523998,43.91178560036818,95.34061419963183,183.16418540036818
2020-02-20,182.389999,182.399994,171.988007,179.882004,179.882004,88174500,142.95459940000003,45.68315619216066,97.27144320783938,188.6377555921607
2020-02-21,181.395996,182.612,176.08999599999999,180.199997,180.199997,71574000,146.25309945000004,46.34072194437316,99.91237750562688,192.5938213943732
2020-02-24,167.800003,172.699997,164.440002,166.757996,166.757996,75961000,149.54109920000005,46.17664428781186,103.3644549121882,195.7177434878119
2020-02-25,169.800003,171.320007,157.399994,159.98199499999998,159.98199499999998,86452500,152.23079915000002,43.53219452788371,108.6986046221163,195.76299367788374
2020-02-26,156.5,162.662003,155.222,155.759995,155.759995,70427500,154.64969910000005,39.41518023711562,115.23451886288443,194.06487933711566
2020-02-27,146.0,147.953995,133.800003,135.800003,135.800003,121386000,156.76869900000003,34.57173238257048,122.19696661742955,191.3404313825705
2020-02-28,125.940002,138.104004,122.304001,133.598007,133.598007,121114500,157.74879925,30.823743776408392,126.9250554735916,188.57254302640837
2020-03-02,142.251999,148.738007,137.334,148.723999,148.723999,100975000,158.02059945000002,29.856056835950795,128.16454261404922,187.87665628595082
2020-03-03,161.0,161.395996,143.222,149.102005,149.102005,128920000,158.9510995,27.376093284230386,131.5750062157696,186.3271927842304
